,smiles,solv_oxidation_potential
80ISID,CC1=Cc2ccccc2S1(=O)=O,2.107
80EHZU,CC1=CS(=O)(=O)c2ccccc21,2.208
80LELQ,CC(C)(C)C1=CC(=Cc2cc(C(C)(C)C)c([O])c(C(C)(C)C)c2)C=C(C(C)(C)C)C1=O,1.308
80UWMA,N=C1C(=O)C=Cc2cccc(N)c21,1.248
80FECM,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,1.094
80UVBM,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1Cl,1.056
80IRTC,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc([N+](=O)[O-])cc1Cl,1.073
80ACGT,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cc([N+](=O)[O-])ccc1Cl,1.464
80RUBP,CCOc1cc(C2C(C(=O)OCC(C)C)=C(C)NC(C)=C2C(=O)OCC(C)C)ccc1O,1.33
80ZAEK,CC1=C(C)S(=O)(=O)c2ccccc21,1.951
80ZZUE,O=S1(=O)C(Br)=Cc2ccccc21,2.351
80IYGG,CC1=C(C)C(=CC2=NC(=Cc3[nH]c(C=C4N=C(C=C5NC(=O)C(C)=C5C)C(C)=C4C)c(C)c3C)C(C)=C2C)NC1=O,0.595
80ZGUS,O=C1CCCC2=C1C(C=Cc1ccc(Cl)cc1)C1=C(CCCC1=O)O2,1.303
80YPFU,N#Cc1ccc2c(c1)C(CCCCCl)C=N2,2.326
80MXNI,CC(C)OC1=NS(=O)(=O)c2ccccc21,2.725
80GZAW,CC1C2C3C=CC(C3)C2C2=Nc3ccccc3C21OO,1.819
80BPJP,CC(C)C1=Cc2cc3c(c(O)c2C(=O)C1=O)CCCC3(C)C,1.654
80IVGC,O=S1(=O)C=Cc2cc(Br)ccc2O1,1.981
80RXYI,O=[N+]([O-])c1ccc2c(c1)=NOC1(CCCCC1)[N+]=2[O-],1.425
80PEHW,O=[N+]([O-])c1ccc2c(c1)=[N+]([O-])C1(CCCCC1)N=2,1.687
80PCRV,CC1=Cc2ccccc2C(NC(=O)C(C)(C)C)CC=C1,1.454
80PCUJ,CC1=Cc2ccc(=O)ccc2C=C(C)O1,0.969
80NASW,CCCc1ccc2c(c1)C13C=C(OC)C(=O)C=C1OCC(C3)O2,1.502
80XNDP,CC12CC(c3ccoc3)OC(=O)C1CCC13COC(=O)C1(O)C=CC=C23,1.746
80GWAR,CC(=O)c1ccc2c(c1O)C=CC(C)(C)O2,1.303
80HEEQ,CC(C)SC1=S=C(SC(C)C)c2c(SC(C)C)sc(SC(C)C)c21,0.165
80VHSG,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(OCCN(C)C)cc1,0.93
80WAEF,COC(=O)C1=C2C(=C(c3ccc(OC)cc3)C1)CCN2C,0.698
80NNFI,CCCC1(OC(=O)c2ccccc2)C(=O)C(C(C)=O)=CC2=C1CCCC2,1.551
80VLDX,COC(=O)C1=CN(C)C=CC1=C(C#N)c1ccccc1,0.64
80VXUL,CCOC(=O)C1=CC(c2cccs2)C2=C(CCC2=O)O1,1.744
80OGPE,COC(=O)C1=C(C(=O)OC)C2(C(=O)Nc3ccccc32)C(C#N)=C(N)O1,1.446
80SWWU,c1ccc2c(c1)C2,2.203
80FKSA,CSC1=C2C=CC(C)=[N+]2[B-](F)(F)n2c(C)ccc21,2.841
80YZHU,CCC1=[N+]2C(=C(SC)c3ccc(CC)n3[B-]2(F)F)C=C1,2.633
80TMAI,CC1=CC2(C)C=C(C)C1c1c(Br)c3c(c(Br)c12)C1C(C)=CC3(C)C=C1C,1.595
80OAVS,CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CCC1)C2c1ccc(Cl)cc1,1.982
80AZYI,CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)O)n1[B-]2(F)F,1.231
80MBHN,O=c1c2[n-]ssc=2c(=O)c2s[s+]nc12,0.686
80PRNO,CC(=O)OCC1OC(Oc2c(Cl)cc3c(c2Cl)C(C)(C)C2=CC(=O)C=CC2=N3)C(F)C(OC(C)=O)C1OC(C)=O,1.95
80KUBX,COc1c(O)ccc2c1C(=O)C1=C(C2=O)C2OC(=O)CC2OC1C,1.609
80TBQP,COC(=O)C1=C(C)NC(c2ccccc2)C([N+](=O)[O-])=C1,1.235
80AOZU,O=C(O)C1=Cc2ccccc2C1,1.824
80YBDT,Cc1cc(C)c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)c-2c(C)c1,0.846
80WOJV,CC(C)(C)c1cc(-c2ccc(C=C(C#N)C(=O)O)s2)c2cccccc1-2,0.815
80ZIKO,COC(=O)C(OC1=NC(=O)c2ccccc21)C(=O)OC,2.455
80NDBD,COc1cc2c(cc1OC)C(C#N)(C(C)C)OC(C)=C2,0.737
80WMQN,CC1=CC=C(Cl)C(C2(c3ccccc3)SCCCS2)C1,0.89
80YHGC,COC(=O)C1(C(=O)OC)N=C(c2ccccc2)C=CO1,1.69
80JDDH,COC1=NC2(C=C2c2ccccc2)C(OC)=NC1C(C)C,1.462
80RCKY,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1cccc(Br)c1,1.457
80HCPY,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(C=O)cc1,1.095
80SIXE,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccc([N+](=O)[O-])cc1,1.433
80IPRV,CCOC(=O)CCC1=NC2=S(SC(c3ccccc3)=C2)S1,1.715
80QXMK,CC1=Cc2ccc3c(c2C1)CC(C)=C3,0.767
80AYAE,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)C(C)OC(C)C1O,1.863
80YSJM,COC(=O)CC1(C(F)(F)F)C(C#N)=C(N)OC2=C1C(=O)CC(c1ccccc1)C2,1.763
80INET,COC(=O)C1=CC(C(C)C)C(c2cccc(Br)c2)C(C(=O)OC)=C1,1.707
80QCMD,COC(=O)CC1C(=O)NN=C2c3ccccc3N=CN21,1.065
80EKEA,CCCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C#N)=C(N)O1,1.253
80HJTB,O=[N+]([O-])c1ccc(C=CC2=CC=CC=CC=C2)cc1,1.117
80PIBD,C1=CC=CC(C=Cc2ccccc2)=CC=C1,1.455
80BLPZ,CCOC(=O)COc1ccccc1C1C2=C(CC(C)(C)CC2=O)OC2=C1C(=O)CC(C)(C)C2,1.24
80LQFT,CC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,1.141
80ZYYQ,O=C1CCCC2=C1c1ccccc1CN2,0.723
80PIPB,CC(=O)C1=CN=C(SCc2ccccc2)SC1,2.768
80QYYW,CNC1=C(C=C(C)C)C(=O)c2ccccc2C1=O,1.037
80WBCI,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCC(=O)O)cc1,1.681
80DNVU,CCOC=NC1=C(C#N)C(c2ccoc2)C2=C(CC(C)(C)CC2=O)O1,1.639
80YHYS,CCN(CC)C1=NS(=O)(=O)N2C(=N1)Nc1ccccc12,1.763
80HLIC,CCC1=C(C)C(=C(C)c2[nH]c(C)c(CC)c2C)N=C1C,0.526
80SDIG,O=S1(=O)N=C(N2CCCC2)N=C2Nc3ccccc3N21,1.723
80ACHP,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,1.478
80HYQS,F[B-]1(F)N2C(Br)=CC=CC2=Nc2cccc[n+]21,1.389
80LFFA,C=CCSC1=NC(c2ccc(OC)cc2)C(C(=O)OCC)=C(C)N1,1.438
80YYYM,Cc1ccc2c(c1)C(C1(C)C=CC(=O)O1)C(C#N)=C(N)O2,1.466
80UYKK,COC1=CC(=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)C(=O)C2(OC)Oc3c(OC)cc(OC)cc3C3(C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C3)C12,0.962
80KASW,COc1ccc(C2C3=C(CC(C)(C)CC3=O)N(CCN(C)C)C3=C2C(=O)CC(C)(C)C3)cc1,0.98
80XWIY,CC(C)C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,1.607
80ZPGT,CCN(CC)C1=C(C(=O)OC)C(C(=O)OC)C(O)(C(=O)OC)c2cc(Cl)nc(Cl)c21,1.092
80ELYC,CC(C)NC1=NS(=O)(=O)c2cc(I)ccc2N1,2.059
80JSWL,O=C1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,2.315
80QTPQ,Cn1c2ccccc3c-2c(c1=O)C(C)(C)CC3OC(=O)c1ccc(Br)cc1,0.924
80MKFU,CCC1=C(C)C2=Cc3ccc(Cl)n3[B-](F)(F)[N+]2=C1C,1.273
80NBST,CCCC1=C2C=CC(Cl)=[N+]2[B-](F)(F)n2c(Cl)ccc21,1.551
80DPFC,CCOC(=O)C1=NC2(CCC2)Cc2ccccc21,1.823
80RGLA,F[B-]1(F)OC2=CC=CC=CC2=[N+]1Cc1ccccn1,1.823
80GJYZ,O=[N+]([O-])c1ccc(N=Nc2ccc3cccccc2-3)cc1,0.98
80XGXD,COc1ccc(N=Nc2ccc3cccccc2-3)cc1,0.731
80LMHO,C=CCC1=CC2(CC=C)CCc3ccc(cc3)CCC1=CC2=O,1.439
80AINT,CCOCN1C(C)=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC)=C1C(=O)OC,1.32
80FGXB,CC(=O)C1=C(C)OC(F)=C(C#Cc2ccccc2)C1,1.326
80RWWB,COC(=O)C1=Nc2ccc(Br)cc2SC12CC2,1.494
80ISBE,Cc1ccc2cc3c(=O)onc-3[nH]c2c1,1.288
80PGUF,Cn1c2noc(=O)c-2cc2cc(F)ccc21,1.42
80LJDO,Cc1cc2c(s1)C(=C(C#N)C#N)C(C(C)C)=CC=C2,1.317
80AAAL,CCOC(=O)C1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1,1.491
80BVJD,O=C1C=CC23C(=C1)CCN2CCc1ccccc13,1.223
80ZZXY,CC1=CCc2c(ncn2S(=O)(=O)N(C)C)C1,1.527
80QBGK,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc2c(c1)OCO2,1.12
80ZCNC,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccnc1,1.142
80HTFM,O=C1C2=C(CCCCC2)c2cc(F)ccc21,1.779
80PSZI,O=C1C2=C(CCCC2)c2cc3c(cc21)OCO3,1.134
80QQZH,O=C1C2=C(CCCC2)c2cc(C(F)(F)F)ccc21,1.905
80YFAG,COC1=CC23CCN(C)C(Cc4ccc(OC)c(O)c42)C3=CC1=O,1.052
80JJFF,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCO[N+](=O)[O-])C1c1cccc([N+](=O)[O-])c1,1.202
80ZUKC,C=C1N(C)C2=C(SC1(C)C)C(=O)c1ccccc1C2=O,0.945
80UUDE,CCOC(=O)C(NC(=O)C1N=C1N)c1ccccc1,2.202
80UADR,CCCSC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,1.592
80HJZK,CN(C)C1=CC(c2ccccc2O)=[O+][B-](F)(F)O1,1.777
80NAJO,CC1=Cc2ccccc2C(C#N)N1C(=O)C(C)C,0.778
80HPRT,CC(=O)N1C=Cc2ccccc2C1C#N,1.457
80RMFY,O=C1C=CC(=NC2=C(Cl)C(=O)c3ccccc3C2=O)C=C1,1.89
80DSWT,COc1ccc2c(c1)C=C1C(=O)CCC1O2,1.189
80ETQH,COc1cc(C2C3=C(CC(C)(C)CC3=O)N(C3CC3)C3=C2C(=O)CC(C)(C)C3)ccc1O,0.879
80OAQI,CC1=[NH+][B-](F)(F)Oc2ccc(Br)cc21,1.849
80JYBO,COC(=O)C1(C(=O)OC)C(C=O)=Cc2ccccc2C1O,2.021
80FKQH,CCOC(=O)C1=C(c2ccccc2)OC(N)=C(C#N)C1C1COC(C)(C)O1,1.489
80ZDKJ,CC1(C)C(=O)C2C=CC1c1cccc(Cl)c12,1.81
80OWBW,COC(=O)C1C(c2cc(OC)c(OC(C)=O)c(OC)c2)OC(C)C12C=C(OC)C(=O)C(OC)=C2,1.593
80DCAQ,c1cc2c(c3c1CC3)C2,1.85
80XYWA,C1Cc2c1c1c(c3c2C3)CC1,1.764
80EWZJ,Cc1cc(C)c(N2B(C(C)(C)C)B2C(C)(C)C)c(C)c1,1.219
80DILO,COC(=O)C1=C(C(C)=O)N2N=Cc3ccccc3C2C1C(=O)OC,1.173
80GVGG,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(Cl)cc1,1.123
80UAHO,CC(C)(C)c1ccc2c(c1)[N+]([O-])=CC2(C)C,1.504
80RHFW,CC1=C(O)C(C)(O)C(=O)C(C(=O)CCc2ccccc2)=C1O,2.07
80HXAJ,CCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1ccccc1,1.138
80PGAT,CCCCCCC1=NNc2ccccc2C1,0.746
80SGEE,CNC1=C([N+](=O)[O-])C(C[N+](=O)[O-])c2ccccc2O1,1.553
80YPYE,COC(=O)C1=CCCCC2=COC(c3ccccc3)=CC2=C1C(=O)OC,0.74
80JZLZ,O=C1C(O)=CC=CC1=CNCCN(CCN=Cc1cccc(O)c1O)CCNC=C1C=CC=C(O)C1=O,1.013
80PZQE,COC(=O)C1=C(O)C(O)=C(C(=O)OC)C1=CNc1ccccc1,0.653
80XTMC,N#CC1=C(N)Oc2ccc(Br)cc2C1C[N+](=O)[O-],1.371
80BWJX,COc1ccc2c(c1O)OC1(CCCCC1)C1=C2CCCC1,0.686
80RPWX,CCC1=C(C)C(CC)(CC)c2cc(OC)c(O)c(O)c21,0.399
80EDBL,CN(C)C1=NNC(c2ccccc2[O-])=[NH+]C12CCCCC2,0.705
80ACLJ,CCC12C=NC3CC1C1C(=O)OC2CC12C3=Nc1ccccc12,1.902
80HIYK,CCOC(=O)C1=C([O-])C(=O)C(C(=O)OCC)=C([n+]2ccc(N(C)C)cc2)C1=O,1.333
80ZGZJ,O=C1CCCC2=C1C(c1ccc(Cl)cc1)C1=C(CCCC1=O)O2,1.631
80TBGG,O=C1CCCC2=C1C(c1ccc3c(c1)OCO3)C1=C(CCCC1=O)N2O,0.975
80UYVM,O=C(C1=CN2CCCC(CO)C2c2cccc(Br)c21)C(F)(F)F,1.032
80SJHK,C1=CC2(CCC(c3ccccc3)CC2)N=N1,2.49
80VURJ,CC1=CC=C2C(=O)c3cc(Cl)ccc3OC2C1,1.578
80TICQ,ClC1=C(Cl)C(Cl)(Cl)c2c1nc(Cl)c(Cl)c2Cl,2.202
80AVNA,CC1C2(Cl)CN3CCC14C(=Nc1ccccc14)C(C)(C3)C2=O,1.407
80JJBQ,Cc1cc(C)c(N2B(Br)N3CCN(C45CC6CC(CC(C6)C4)C5)B(Br)C3=C2C(C)(C)C)c(C)c1,0.638
80TJJN,CO[B-]1(OC)NC=[NH+]c2ccccc21,1.364
80SXCA,COC(=O)COc1ccc(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cc1,1.065
80OURM,COc1cc2c3c(c1OC)C(=O)C(=O)C1=C3N(CCC1)CC2,1.085
80DWOH,CC1=CC([N+](=O)[O-])C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2ccccc21,2.001
80TYFR,Cc1cccc2c1C([N+](=O)[O-])C=CC2C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.594
80QJPV,CCN(CC)C1=NS(=O)(=O)N2C(=C1C#N)Nc1ccccc12,1.448
80OBSU,N#CC1=C2Nc3ccccc3N2S(=O)(=O)N=C1N1CCCCC1,1.434
80UYUK,CCOC(=O)C1=C2Nc3ccccc3N2S(=O)(=O)N=C1N1CCCCC1,1.261
80XFBE,CCN(CC)C1=NS(=O)(=O)N2C(=C1C#N)N(C)c1ccccc12,1.397
80UJWF,CCN(CC)C1=NS(=O)(=O)N2C(=C1C)N(C)c1ccccc12,0.727
80YWRO,CCOC1=CC(C(C)(C)C)=NC1(c1ccccc1)C1CC1,1.569
80TRNH,COc1cc(O)c2c(c1)C(=O)C1=C(CC(O)C(C)(O)C1)C2=O,1.778
80VONG,CCOC(=O)C1=C(C)NC(SCC(N)=O)=C(C#N)C1c1ccc(Cl)cc1,1.316
80YOJM,CCOC(=O)C1=C(C)NC(SC)=C(C#N)C1c1ccc(Cl)cc1,1.34
80LEFZ,COC1=C(OC)C(=O)c2oc(C)cc2C1=O,1.209
80NVEB,Cc1cc2c(cc(C)c1=O)C1=CC(C(C)(C)C)=CC3=CC=C4C=C(C(C)(C)C)C=C2C4(C)C31C,0.349
80KRWM,CC1=C(c2ccccc2)C2(F)C(F)=C(F)C(F)=C(F)C12F,1.924
80JICQ,COC(=O)C12CCCCC3=C1N(CC=C3c1ccccc1)C(=O)C2CC(=O)O,0.651
80IJME,CCN(CC)c1ccc(C=C2C=CC=C2)cc1,0.837
80CFPM,CC(=O)Nc1ccc(C=C2C=CC=C2)cc1,1.194
80UFZO,O=C1C=CC(N=Nc2ccccc2)=CC1=CNC(CO)(CO)CO,0.745
80KUXE,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,1.127
80QCDF,CC(=O)[C-]1C(C)=[NH+]c2ccccc2S1=O,1.512
80WODJ,COc1cc2c(cc1OC)C(C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC(C)=O)=[N+]([O-])CC2,0.731
80QFDG,COC(=O)C1C(C(=O)OC)C(c2cc(OC)c(OC(C)=O)c(OC)c2)C2(C=C(OC)C(=O)C(OC)=C2)C1OC,1.45
80TXKN,CC1(C)CC(=O)C(C2C3=C(CC(C)(C)CC3=O)Oc3ccccc32)=C(O)C1,1.313
80GIQV,CC1=C(C(=O)OCC(C)C)C(c2ccccc2)C(C#N)=C(N)O1,1.292
80ZPNM,COC(=O)C=C(C(=O)OC)C1c2c(c(C)c3cc(C(C)C)ccc(C)c2-3)C(C(=O)OC)=C(C(=O)OC)C1c1ccccc1,0.366
80IXVF,COC(=O)C1C2c3c4c(C)ccc(C(C)C)cc-4c(C)c3C3(C(=O)OC)C1(C(=O)OC)C3(C(=O)OC)C2c1ccccc1,0.632
80AKRE,COC(=O)C=C(C(=O)OC)C1c2cc3c(C)cc(C)cc(C)c-3c2C(C(=O)OC)=C(C(=O)OC)C1c1ccccc1,0.737
80WDQL,COC(=O)C1=C(C(=O)OC)C(c2ccccc2)Cc2ccc(C(C)C)cc3c(C)cc1c2-3,0.623
80JNQX,COC(=O)C1(Br)N=C1c1ccccc1,2.854
80IKGV,COC(=O)C1=C(C=Cc2ccc(OC)cc2)C23C=CC(C(C)C)=CC2C(C)=CC3=C1C(=O)OC,0.569
80OUWV,COC(=O)C1=C(C(=O)OC)SC2(S1)C(C)=C(c1ccccc1)SC(C(=O)OC)=C2C(=O)OC,1.166
80JGPQ,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,0.532
80XOUX,COC1=CC=C2C(=CC=Cc3cc(OC)c(OC)c(OC)c32)C=C1OC,0.187
80XWVS,CNC1=CC(=O)c2ccncc2C1=O,1.736
80PKJA,COC1=CC=C2C(=CC=Cc3c(C)c(OC)c(OC)c(OC)c32)C=C1OC,0.112
80UYAI,CNC1=C(Br)C(=O)c2ccncc2C1=O,1.546
80MDPM,CNC1=C(Cl)C(=O)c2ccncc2C1=O,1.572
80YLLS,Cc1ccc(N2C3=C(CC4=C2CC(C)(C)CC4=O)C(=O)CC(C)(C)C3)cc1,0.923
80SZHI,O=C(C1=CN=C(c2ccccc2)SC1)C(F)(F)F,1.964
80HOGG,CC(=O)OCC(Cc1ccccc1)N1C(=O)CCC12C=CC(=O)C=C2,2.422
80JJPB,CC1=C(C)C(C)c2c(C)c(C)c3c(c21)C(C)=C(C)C3C,0.614
80XOTC,CC1=C(C)C(C)c2c(C)c3c(c(C)c21)C(C)C(C)=C3C,0.513
80DZIQ,CC1(C)CC(=O)C2=C(C1)NC1=C(C(=O)CC(C)(C)C1)C2c1cccc([N+](=O)[O-])c1,1.273
80AHRM,CCCCc1nc(Cl)c(C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OCC)[nH]1,1.142
80OAJP,CCOC(=O)C1=C(C(=O)OC)C(C)OC2=C1S(=O)(=O)c1ccc(C)cc12,1.54
80NECN,CN(C)C1=CC(=O)c2cc(O)ccc2C1=O,1.407
80VPAD,CCOC(=O)C1=C(CCl)OC(N)=C(C#N)C1c1ccccc1C,1.343
80RPPJ,CC1=Cc2c(c(C)cc3c2C(C)CO3)C(=O)C1=O,1.771
80AZCA,O=S(=O)(Oc1cc(OS(=O)(=O)C(F)(F)F)c(C2C=CN(S(=O)(=O)C(F)(F)F)C=C2)c(OS(=O)(=O)C(F)(F)F)c1C1C=CN(S(=O)(=O)C(F)(F)F)C=C1)C(F)(F)F,1.29
80CNXW,CC(=O)N(C1=CC(=O)C=CC1=O)c1ccccc1,2.071
80NTXO,CCOC(=O)C1=CC=C(c2ccc(C(C)C)cc2)C1(C(=O)OCC)C(=O)OCC,1.34
80WPQB,COC1=CC23C(=CC(C1=O)C1=C2CCCCCC1)c1c(cc(OC)c(OC)c1OC)CCC3NC(C)=O,1.003
80QKUC,Cc1ccc(S(=O)(=O)N2CCOC23C=CC(=O)C=C3)cc1,2.599
80MODI,CCCC1=C(N(NC(=O)OC(C)C)C(=O)OC(C)C)c2ccccc2B(O)O1,1.356
80TXMO,CCNC1=CC(=O)c2ccccc2C1=O,1.506
80SGPR,CCCCCCNC1=CC(=O)c2ccccc2C1=O,1.591
80MKHF,Cn1c(=O)nc2n(C)c3ccc(C#N)cc3nc-2c1=O,2.164
80TOFG,CC(=O)CC1(OC(C)=O)C=C(c2ccccc2)C=CC1=O,1.118
80GHHP,CC1=C(C#N)C(c2cccs2)=C(C#N)C1(C)NC(=O)C(F)(F)F,1.858
80QBYQ,CC1=C(C#N)C(c2ccccc2)=C(C#N)C1(C)NC(=O)C(F)(F)F,2.103
80YPVW,COC(=O)C1=C2Nc3ccccc3C23CCN2CCCC(=C1)C23O,0.669
80EJSB,CC(=O)C=Cc1c2cccccc-2c2sccc12,0.8
80YBQN,CCCCC1C=Cc2ccccc2C1(C)C(=O)N(C(C)C)C(C)C,2.146
80EOJD,C=CC12CN(CC3C(=O)OC4CC(C)C(CO)C43)C3CC14C(=Nc1ccccc14)C1CC2C3CO1,1.037
80TTMK,Cc1ccc2c(n1)C(=O)C1=C(C2=O)S(=O)(=O)CCN1,2.03
80DHXR,CC1(C)Cc2ccccc2C(C=NO)=N1,2.253
80GDJG,N#Cc1c(Cl)nsc2c(Cl)c3ccccc3c1-2,1.337
80JTPH,COC(=O)C(C(=O)OC)C1=Cc2cc(Cl)ccc2CC1,1.467
80NJIC,CN1N=Cc2ccsc2B1O,1.496
80FSAK,CC1=C(O)C(=O)c2ccccc2C1=O,2.138
80IWJL,CN1C=CC=CC1=C1C=CC(c2ccccc2)=CS1(=O)=O,0.539
80WDVF,COc1ccc2c(c1)CCC1=C2CCC2C1C1(CCS2(=O)=O)OCCO1,1.326
80TWXZ,COC1=NS(=NS(=O)(=O)c2ccc(C)cc2)N=C(OC)N1,1.864
80HJOI,CC1=CC(=Nc2c(C)cccc2C)C=C(C)C1=N,1.0
80QZMA,Clc1cc(Cl)c2c(c1)C=C1CCCCC1(N1CCOCC1)O2,1.184
80XPTS,CCCCNC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,1.036
80BMNW,O=C1C=C(O)C2=CC=CC=CC12c1ccccc1,1.661
80POOV,C[NH+]1N=Cc2ccccc2[B-]1(C)C,2.107
80PXNT,COC(=O)C12Oc3cc(C)cc(O)c3C(=O)C1=CC=CC2=O,1.671
80IALA,CCOc1ccc(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cc1,1.023
80VRMG,COC(=O)C1(C)NC(C(C)C)C2=C1C(=O)c1ccccc1C2=O,1.547
80RDSP,CCOC(=O)C1(C)NC(C(C)(C)C)C2=C1C(=O)c1ccccc1C2=O,1.574
80VNVC,CN1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1,0.799
80FCJE,CCOC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1ccccc12,1.3
80DIJG,CC12C=CC(O)=CC1C(=Cc1cccc([N+](=O)[O-])c1)CO2,1.445
80XMGU,CSC1=Cc2cc(Br)ccc2C1=O,1.286
80XZKU,CC(C)(C)N=C1C(NC(C)(C)C)=Nc2ccccc21,1.322
80WAPM,COc1ccc([N+](=O)[O-])c2c1C=CCN2C(C)=O,1.378
80HDYM,CN1C(=O)CCC23CCCC2=Cc2ccc(C(F)(F)F)cc2C13,1.586
80UUBD,COc1cc2c(c(OC)c1C)C=CC=C1C(C)=CC(C)=CC(C)=C12,0.549
80AQRA,COc1cc2c(c(CO)c1S(=O)(=O)N1CCOCC1)C=CC(C)=C1C=C(C(C)C)C=CC(C)=C12,0.641
80PJIM,CCc1c(OC)cc2c(c1OC)C=CC(C)=C1C(C)=CC(C)=CC(C)=C12,0.56
80EZIU,CC1C2=C(CC(C)(C)CC2=O)N(CCc2ccc(O)cc2)C2=C1C(=O)CC(C)(C)C2,0.937
80SZCA,COc1cc2c(c(N3CCOCC3)c1)C=CC(C)=C1C=C(C(C)C)C=CC(C)=C12,0.25
80LCGJ,COC(=O)C(=C1C=CC=CN1)C(SC)=C(C#N)S(=O)(=O)c1ccc(C)cc1,0.821
80EONR,CC(C)=CCC1=C(C)c2cc(C(C)(C)C)cc(C(C)(C)C)c2OC12CC2,0.608
80OLKI,CCCCNC1=C(F)C(=O)c2c(F)c(F)c(F)c(NCCCC)c2C1=O,1.363
80SHZC,COc1cc2c(c([N+](=O)[O-])c1)N(C(C)=O)CC=C2,1.359
80BERO,COC(=O)c1ccc(Br)c2c1SC(NC(C)(C)C)=NN2,0.425
80EJCU,C#CC1(O)C(Cl)=C(Cl)C(O)(C#C)c2ccccc21,2.552
80XSSV,C#CC1(O)C=CC(O)(C#C)c2cc(C)c(C)cc21,2.224
80HEUE,C#CC1(O)C(Cl)=C(Cl)C(O)(C#C)c2cc(C)c(C)cc21,1.908
80ZNHR,C#CC1(O)C(Br)=C(Br)C(O)(C#C)c2cc(C)c(C)cc21,2.188
80JGDW,CC1CCC(C(C)C)C(C2=Cc3ccccc3C2)C1,1.433
80SIXL,Cc1ccc(C)c2c1C=C(C1CC(C)CCC1C(C)C)C2,1.074
80LPNP,COc1ccc(CCC2(N(C)S(=O)C(C)(C)C)C=CC(=O)C=C2Br)cc1OC,1.073
80ZQXD,CC(NC(=O)C1(O)C=CC=CC1O)c1ccccc1,1.536
80FGLK,O=C1C=Cc2ccccc2C1=CNCC12CC3CC(CC(C3)C1)C2,1.08
80QFCK,CCOC(=O)C1=C(c2ccccc2)C23CCCCC2C1(N1CCCC1)C=C3OCC,0.487
80NQAQ,COC(=O)C1=CC=C(C)C2=C(C)C=C(c3ccccc3)C=C(C)C2=C1C(=O)OC,1.128
80TQAG,COC(=O)C1=C2C=C(C)c3c(C)cc(C(C)(C)C)cc3C2(C(=O)OC)C(C(=O)OC)=C(C)C1C(=O)OC,1.096
80KREG,CC1N=NC(c2ccc(Cl)cc2)=NN1,1.357
80ZYOO,CC1=CC(C2=C(c3cc(C)sc3C)C(F)(F)C(F)(F)C2(F)F)=C(C)S1(=O)=O,1.995
80WAON,CCN(CC)C1=CC(=O)C(=CNc2ccccc2O)C=C1,0.737
80CPJU,O=C1C=Cc2ccccc2C1=CNC1CCCCC1,1.054
80IOFV,CC1=CC(=O)N(C(C(=O)NC(C)(C)C)c2ccccc2)C12C=CC=CC2=O,2.272
